Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,322.36698577174525,0.002109421084144483,2.656384481791102e-05,3.12404107950891e-05,11438.963067160825,18055.369215028342,30623.413146415303,2.7551299999999998e-12,2.774804e-12,4.8923758745623437e-11,0.2830645527961508,1000000000.0,1010000000.0,0,27,
2,326.26582742035555,0.002054606539205181,2.894722174146384e-05,3.186703717980307e-05,11438.963067160825,18084.388172810246,30164.733664627245,2.7551299999999998e-12,2.774804e-12,4.9370732772426764e-11,0.29677602521573876,1000000000.0,1010000000.0,0,27,
3,335.9663358345057,0.002027997885064266,3.1550394448552666e-05,3.3309102688429295e-05,11438.963067160825,18352.98649275487,30094.07836806172,2.7551299999999998e-12,2.774804e-12,4.8780757810361397e-11,0.3105391192689866,1000000000.0,1010000000.0,0,27,
4,344.22473805085514,0.0020059650841628826,3.4273954798116386e-05,3.4434738886992494e-05,11438.963067160825,19003.289107490767,30188.685249330385,2.7551299999999998e-12,2.774804e-12,4.737228886238584e-11,0.3279278610142977,1000000000.0,1010000000.0,0,27,
5,350.091696672548,0.001980571153441831,3.681043493126968e-05,3.5320681546701915e-05,11438.963067160825,19618.68119885048,30072.986058512717,2.7551299999999998e-12,2.774804e-12,4.62357656201868e-11,0.33997697479159905,1000000000.0,1010000000.0,0,27,
6,352.75737746155835,0.0019531861409306643,3.966717026203127e-05,3.6167760694111584e-05,11438.963067160825,20028.286705419523,29748.06355930959,2.7551299999999998e-12,2.774804e-12,4.546093055179143e-11,0.3474428348180603,1000000000.0,1010000000.0,0,27,
7,353.42309933834764,0.0019268997492916029,4.26403325057209e-05,3.6741727619403266e-05,11438.963067160825,20410.552978992,29251.43112767286,2.7551299999999998e-12,2.774804e-12,4.5117396051976034e-11,0.35176316281964365,1000000000.0,1010000000.0,0,27,
8,351.86423043413424,0.0018997649628576835,4.380896984808387e-05,3.663718640456423e-05,11438.963067160825,20914.9431144491,28230.75269567045,2.7551299999999998e-12,2.774804e-12,4.503241112135945e-11,0.33931428061416335,1000000000.0,1010000000.0,0,27,
9,353.10636260956727,0.0018726934995089454,4.55350122483896e-05,3.660292283323771e-05,11438.963067160825,21213.12812068775,27456.665068319035,2.7551299999999998e-12,2.774804e-12,4.5231918827193115e-11,0.32798359974332797,1000000000.0,1010000000.0,0,27,
10,360.11950423275243,0.0018598002857994386,4.789899408407313e-05,3.7288177462766744e-05,11438.963067160825,21396.873956594936,27224.93933783218,2.7551299999999998e-12,2.774804e-12,4.50728052351394e-11,0.3366018373040816,1000000000.0,1010000000.0,0,27,
11,361.94055801185465,0.0018339918080000903,5.0107231111654465e-05,3.726932004114015e-05,11438.963067160825,22048.84304707792,26557.09292010852,2.7551299999999998e-12,2.774804e-12,4.419503559824694e-11,0.3281329881884122,1000000000.0,1010000000.0,0,27,
12,369.50713191020697,0.001823154473700642,5.184125571565936e-05,3.734597994191262e-05,11438.963067160825,22379.30824261266,26077.22978007982,2.7551299999999998e-12,2.774804e-12,4.397267439883942e-11,0.3242767367872318,1000000000.0,1010000000.0,0,27,
13,378.20554062403085,0.0018130886899503844,5.401381437549029e-05,3.745614670370755e-05,11438.963067160825,22632.881024345737,25639.765797061453,2.7551299999999998e-12,2.774804e-12,4.3072224957912635e-11,0.32105028574499944,1000000000.0,1010000000.0,0,27,
14,388.8193019417152,0.0018044611492306626,5.5772737679911067e-05,3.756948253640453e-05,11438.963067160825,22869.557499139155,25270.96796193793,2.7551299999999998e-12,2.774804e-12,4.2081600081609896e-11,0.31843583469462844,1000000000.0,1010000000.0,0,27,
15,397.4836731855521,0.0017948553580812336,5.791818946472353e-05,3.7681547935988e-05,11438.963067160825,23120.17424456339,24849.39630264492,2.7551299999999998e-12,2.774804e-12,4.0932881237401376e-11,0.3156026935301042,1000000000.0,1010000000.0,0,27,
16,407.09350676785004,0.0017866832127733704,6.007317831820792e-05,3.798702382294414e-05,11438.963067160825,23351.681450895947,24479.235777525064,2.7551299999999998e-12,2.774804e-12,4.004062401264947e-11,0.31341511967760854,1000000000.0,1010000000.0,0,27,
17,415.1681846652864,0.0017770556760423513,6.157179530499452e-05,3.8525162729776284e-05,11438.963067160825,23580.733375833064,24136.644663997573,2.7551299999999998e-12,2.774804e-12,3.9095426590199916e-11,0.31143365093952813,1000000000.0,1010000000.0,0,27,
18,424.7794115389205,0.0017693502647653104,6.370853380411267e-05,3.8656205437975656e-05,11438.963067160825,23807.831708016995,23786.03672268797,2.7551299999999998e-12,2.774804e-12,3.8335052870250156e-11,0.30963069319129605,1000000000.0,1010000000.0,0,27,
19,434.19884536742376,0.0017615268358033933,6.583775138113534e-05,3.8788654471872e-05,11438.963067160825,24031.472607648746,23438.48220228466,2.7551299999999998e-12,2.774804e-12,3.746766881080646e-11,0.30791593934906314,1000000000.0,1010000000.0,0,27,
